Source,Target
71762380,334198864
71762380,26212176
71762380,44423
71762380,"1,01201527232314E+018"
71762380,327285445
71762380,19341814
71762380,15174809
71762380,14139773
71762380,11902442
71762380,16947553
71762380,404150867
71762380,686803
71762380,4643465352
71762380,287309941
71762380,21084672
71762380,84351228
71762380,14614648
71762380,15300519
71762380,"7,86221627306484E+017"
71762380,2555247428
71762380,278247123
71762380,17738399
71762380,4328252177
71762380,389634390
71762380,253339566
71762380,34324747
71762380,48823
71762380,9704662
71762380,1538841
71762380,13023532
71762380,15398764
71762380,224912517
71762380,334955469
71762380,2436389418
71762380,2759769840
71762380,"9,52184304741822E+017"
71762380,3200891800
71762380,1558870975
71762380,"7,54576630752895E+017"
71762380,2613859267
71762380,295344317
71762380,235261861
71762380,"8,92376954678235E+017"
71762380,"7,94458165987439E+017"
71762380,155906029
71762380,949851962
71762380,1384837974
71762380,231467758
71762380,16240799
71762380,57719614
71762380,1589737296
71762380,"1,03610555575931E+018"
71762380,172418264
71762380,1328617249
71762380,1478433775
71762380,1505278441
71762380,2351468094
71762380,2464660596
71762380,2616097278
71762380,2801974764
71762380,2836711275
71762380,3370111283
71762380,3370776527
71762380,3529836559
71762380,4455481185
71762380,4704801806
71762380,"7,11367366756721E+017"
71762380,"7,72080865627243E+017"
71762380,"7,85919168956609E+017"
71762380,"8,39068743313555E+017"
71762380,"8,70454480474694E+017"
71762380,"9,06298994153984E+017"
71762380,134072288
71762380,2841962875
71762380,44607461
71762380,636909690
71762380,14526407
71762380,579873574
71762380,1624180945
71762380,54857631
71762380,815875
71762380,364930813
71762380,2290715506
71762380,749308669
71762380,329179614
71762380,8145832
71762380,1357283618
71762380,326034810
71762380,17024927
71762380,76810409
71762380,4419221117
71762380,432957426
71762380,63252043
71762380,361319984
71762380,103549232
71762380,23863969
71762380,"1,04347781344413E+018"
71762380,48843
71762380,16819361
71762380,"7,28371342689456E+017"
71762380,2516620040
71762380,16114135
71762380,6995892
71762380,16738317
71762380,20656090
71762380,877413360
71762380,10325302
71762380,212187685
71762380,139544417
71762380,453995919
71762380,14671135
71762380,16943737
71762380,15424716
71762380,9526722
71762380,10184292
71762380,13074042
71762380,"7,70490229769789E+017"
71762380,2559347738
71762380,4536291
71762380,16284661
71762380,2369849120
71762380,51529520
71762380,1397791753
71762380,20410251
71762380,2220085394
71762380,37319116
71762380,23534420
71762380,16728620
71762380,1246397209
71762380,113653403
71762380,46299743
71762380,2452073258
71762380,17486636
71762380,59836958
71762380,7482442
71762380,2821089556
71762380,130690431
71762380,3083949253
71762380,"1,02364813259543E+018"
71762380,383289779
71762380,2231179117
71762380,2981013099
71762380,37989702
71762380,75261668
71762380,3305896289
71762380,2356617109
71762380,86845693
71762380,"9,02098098847142E+017"
71762380,283290392
71762380,137885308
71762380,34890586
71762380,9542682
71762380,5874122
71762380,29231188
71762380,397476523
71762380,7655662
71762380,6440602
71762380,151284278
71762380,7340612
71762380,88273299
71762380,48636190
71762380,348416778
